area_name,median_rent,median_home_value,median_income,zip,is_texas_zip,rent_affordability_score,home_affordability_score,income_score,starter_score
ZCTA5 78588,520,52800,94821,78588,TRUE,9.209144269,9.913090386,3.400218603,7.677650405
ZCTA5 79789,678,124600,106250,79789,TRUE,8.721037998,9.482737953,3.886292206,7.499124247
ZCTA5 79248,264,55000,49028,79248,TRUE,10,9.8999041,1.452649397,7.405766049
ZCTA5 79561,725,120800,93250,79561,TRUE,8.575841829,9.505514265,3.333404216,7.282012276
ZCTA5 76631,775,114200,97083,76631,TRUE,8.421377819,9.545073124,3.496421114,7.280999399
ZCTA5 76936,660,125300,86411,76936,TRUE,8.776645042,9.478542316,3.042542604,7.266983493
ZCTA5 75976,510,66400,62857,75976,TRUE,9.240037071,9.831575162,2.040794628,7.257725765
ZCTA5 79532,373,69800,49643,79532,TRUE,9.663268458,9.811196356,1.478805252,7.252307866
ZCTA5 76837,533,85100,66528,76837,TRUE,9.168983627,9.719491729,2.19692169,7.242517476
ZCTA5 76371,483,84700,61335,76371,TRUE,9.323447637,9.721889235,1.976064203,7.238765086
ZCTA5 79244,588,88400,71875,79244,TRUE,8.999073216,9.699712299,2.424328773,7.236841608
ZCTA5 76566,683,339100,115417,76566,TRUE,8.705591597,8.197075042,4.276163298,7.224208141
ZCTA5 79778,564,123500,70808,79778,TRUE,9.073215941,9.489331096,2.378949428,7.189770533
ZCTA5 79024,593,110100,71250,79024,TRUE,8.983626815,9.569647567,2.397747619,7.183669282
ZCTA5 75937,723,89500,80441,75937,TRUE,8.582020389,9.693119156,2.788639428,7.177335731
ZCTA5 76372,584,106600,69167,76372,TRUE,9.011430337,9.590625749,2.309157952,7.174507245
ZCTA5 79227,572,69700,62188,79227,TRUE,9.048501699,9.811795732,2.012342161,7.166642048
ZCTA5 79543,602,71500,64978,79543,TRUE,8.955823293,9.801006953,2.13100043,7.161931532
ZCTA5 76888,530,100000,60893,76888,TRUE,9.178251467,9.630184608,1.957266011,7.147535773
ZCTA5 78010,489,318600,86830,78010,TRUE,9.304911956,8.319947255,3.060362609,7.136057742
ZCTA5 79546,575,65000,58984,79546,TRUE,9.039233859,9.839966435,1.876076537,7.130506435
ZCTA5 77978,1175,251600,142500,77978,TRUE,7.18566574,8.721529609,5.427999098,7.119124908
ZCTA5 75929,546,166900,69554,75929,TRUE,9.128822984,9.22920163,2.325617002,7.117974783
ZCTA5 76444,608,115800,68147,76444,TRUE,8.937287612,9.535483098,2.265777509,7.115293227
ZCTA5 79505,527,62900,52708,79505,TRUE,9.187519308,9.852553345,1.609159227,7.113521495
ZCTA5 79528,682,103900,73476,79528,TRUE,8.708680877,9.606808919,2.492419055,7.113240743
ZCTA5 75968,500,89100,53355,75968,TRUE,9.270929873,9.695516663,1.636676037,7.108029759
ZCTA5 79744,374,101100,42039,79744,TRUE,9.660179178,9.623591465,1.155408308,7.097771603
ZCTA5 79062,630,76500,63317,79062,TRUE,8.869323448,9.77103812,2.060358356,7.097148322
ZCTA5 79041,587,101000,61832,79041,TRUE,9.002162496,9.624190842,1.997201536,7.087282712
ZCTA5 79237,622,62500,59688,79237,TRUE,8.894037689,9.854950851,1.906017548,7.085905595
ZCTA5 76534,625,210100,80536,76534,TRUE,8.884769849,8.970270918,2.792679763,7.082793144
ZCTA5 79245,491,78900,48403,79245,TRUE,9.298733395,9.756653081,1.426068243,7.074309755
ZCTA5 79351,658,98900,66853,79351,TRUE,8.782823602,9.636777751,2.21074389,7.067385933
ZCTA5 78962,508,235600,71278,78962,TRUE,9.246215632,8.817429873,2.398938455,7.063396751
ZCTA5 79512,613,88800,60353,79512,TRUE,8.921841211,9.697314793,1.934299895,7.058220891
ZCTA5 79839,540,55000,47950,79839,TRUE,9.147358665,9.8999041,1.406802223,7.050955363
ZCTA5 79345,746,95000,73438,79345,TRUE,8.510966945,9.66015344,2.490802921,7.049673686
ZCTA5 79322,535,65500,48750,79322,TRUE,9.162805066,9.836969552,1.4408261,7.048460722
ZCTA5 79225,844,101600,83333,79225,TRUE,8.208217485,9.620594582,2.91163574,7.042956091
ZCTA5 79845,433,96800,42818,79845,TRUE,9.477911647,9.649364661,1.188539057,7.042535774
ZCTA5 76878,494,78300,46111,76878,TRUE,9.289465555,9.760249341,1.328589838,7.042437975
ZCTA5 79235,540,95800,52935,79235,TRUE,9.147358665,9.655358427,1.618813502,7.041195045
ZCTA5 79529,565,63400,50694,79529,TRUE,9.07012666,9.849556461,1.523504119,7.039968838
ZCTA5 76875,536,162700,61875,76875,TRUE,9.159715786,9.25437545,1.99903032,7.039908045
ZCTA5 79252,655,84600,62228,79252,TRUE,8.792091443,9.722488612,2.014043355,7.037796167
ZCTA5 79502,613,44100,52333,79502,TRUE,8.921841211,9.965236154,1.593210535,7.036270491
ZCTA5 78594,326,38300,23307,78594,TRUE,9.808464628,10,0.358739245,7.031007625
ZCTA5 77872,766,190300,87188,77872,TRUE,8.449181341,9.088947495,3.075588294,7.029033273
ZCTA5 79525,850,153300,89875,79525,TRUE,8.189681804,9.310716854,3.189865988,7.026047575
ZCTA5 79504,639,119600,64545,79504,TRUE,8.841519926,9.512706785,2.112585007,7.024195508
ZCTA5 79782,963,171000,102986,79782,TRUE,7.840593142,9.204627188,3.74747479,7.02186785
ZCTA5 78595,628,89200,58846,78595,TRUE,8.875502008,9.694917286,1.870207418,7.019738214
ZCTA5 79084,529,134800,54808,79084,TRUE,9.181340748,9.421601534,1.698471903,7.00855833
ZCTA5 76945,442,67000,36731,76945,TRUE,9.450108125,9.827978902,0.929659889,7.007334887
ZCTA5 79097,866,144600,88182,79097,TRUE,8.140253321,9.362862623,3.11786296,7.000319003
ZCTA5 79371,691,101600,64917,79371,TRUE,8.680877356,9.620594582,2.128406109,6.997051149
ZCTA5 76525,753,169800,80208,76525,TRUE,8.489341983,9.211819708,2.778729974,6.992901698
ZCTA5 76265,644,216500,76036,76265,TRUE,8.826073525,8.931910813,2.601295459,6.990391292
ZCTA5 79312,779,49100,64722,79312,TRUE,8.409020698,9.935267322,2.120112789,6.980222313
ZCTA5 76950,772,157000,78844,76950,TRUE,8.43064566,9.288539918,2.720719265,6.975036019
ZCTA5 79379,770,80800,67813,79379,TRUE,8.43682422,9.745264924,2.251572541,6.973780928
ZCTA5 76491,842,103100,77917,76491,TRUE,8.214396046,9.611603932,2.681294098,6.973627827
ZCTA5 78118,666,103700,60711,78118,TRUE,8.758109361,9.608007672,1.94952558,6.97050372
ZCTA5 79250,645,78600,54917,79250,TRUE,8.822984245,9.758451211,1.703107656,6.967661358
ZCTA5 75556,1014,103600,93750,75556,TRUE,7.683039852,9.608607049,3.354669139,6.962198797
ZCTA5 78830,631,66700,51354,78830,TRUE,8.866234167,9.829777032,1.551573817,6.960898922
ZCTA5 76360,815,69400,69143,76360,TRUE,8.297806611,9.813593862,2.308137235,6.955641974
ZCTA5 79739,648,258000,79352,79739,TRUE,8.813716404,8.683169504,2.742324426,6.953134741
ZCTA5 76055,745,197300,80025,76055,TRUE,8.514056225,9.046991129,2.770947012,6.951003932
